original,predicted
0.3578181767173056,0.3664871158243207
0.3582880949375079,0.36740941800277743
0.35786376579837004,0.36667648585335744
0.35763582039304803,0.3663187869096214
0.35696250473425073,0.36568755347949894
0.3574008612829469,0.3665537460197225
0.3587124240766458,0.36748656875534796
0.35785675209359086,0.3666273899199035
0.35685379231017406,0.36575769052729035
0.3573517653494929,0.36659933510078696
0.3575446422309192,0.36930662514553436
0.3589929722678113,0.37041128364824866
0.36118475501129205,0.37252591563915893
0.36358694889814697,0.3726732034395208
0.3666273899199035,0.3779440025810434
0.36907166603543323,0.38047595000631235
0.37059714682489586,0.379851730280969
0.3719998877807235,0.3812895397606924
0.37474224634936665,0.3840003366578294
0.3786769347304633,0.3869601200746258
0.3825590203257164,0.3902846161399374
0.3852768309276326,0.3925009468501452
0.38413009019624345,0.3898673007055787
0.3814438412658334,0.3878508605815764
0.3787260306639173,0.3843931041254611
0.3763098093675041,0.3810124984219164
0.3720595042713462,0.37776515310917536
0.36764788396526815,0.37613446674802564
0.3626681535720798,0.37131605156475755
0.3585405883095569,0.3669219655206273
0.3550968592629999,0.36325730477352747
0.3522808567941758,0.36051494620488433
0.3494823885872996,0.3579339028461614
0.3467926328045,0.35508283185344164
0.3453898918486723,0.3525684186901205
0.34347515044396754,0.3528910491099609
0.3409993126569316,0.3479463872406683
0.3372715285668196,0.34626309809367506
0.33385585433937914,0.3428965197996886
0.33052434456928836,0.34007350362608535
0.32779250655781395,0.33764676177250347
0.32551655935698354,0.3373872546956754
0.3233002286467758,0.3353357460477774
0.3231564476988035,0.3353743214240626
0.3237771605717572,0.33514286916635105
0.32293200914587106,0.3338874160108853
0.32253222797346015,0.3315483454670426
0.3231143654701286,0.3329054973418059
0.3245872434737477,0.3336138815244989
0.3263546970780906,0.33543043106229575
0.3280064245535777,0.33719087096185946
0.3287183155886602,0.3381447348118223
0.3288901513557491,0.34041366830787356
0.32903393230372147,0.34008051733086453
0.3266247247120874,0.33723996689531344
0.3238367770623799,0.3327266478699379
0.3212136514749821,0.33062955014097545
0.31981091051915445,0.3294898231143655
0.32052280155423696,0.3327231410175483
0.321434583175525,0.3340978271542594
0.3221850495868928,0.33457475907924084
0.3225672964973558,0.33497103339926215
0.32357726998555175,0.33586878761099187
0.3246749147834869,0.33684018572290253
0.3262705326207409,0.33885311899451526
0.3282554110732371,0.33867426952264723
0.33086801610346617,0.340662654827533
0.33346659372413695,0.3434330682152927
0.335444458471854,0.34614386511242967
0.33775547419658014,0.34891778535257895
0.3413429841911094,0.3523194321704611
0.34374517807796434,0.3545147217663314
0.3453898918486723,0.3557456269550702
0.3468136739188374,0.35708173771549606
0.34753608551108867,0.36015023355636916
0.3477219486877358,0.3581092454656399
0.34831460674157305,0.3575937381643732
0.34786222278331863,0.3567065045098122
0.34575811134957707,0.35456732455217493
0.3429876979618174,0.35215110325576177
0.34079591521833663,0.35079395138099845
0.3383867076267026,0.3486617851281404
0.3363106510120776,0.3466663861184755
0.3339505393538975,0.34392402754983237
0.3324496065311619,0.3401190927071498
0.3316079619576653,0.34053290128911895
0.3307628105317791,0.3393791468529507
0.3288270280127369,0.337951857930396
0.3273927253854031,0.3366297745795284
0.3264423683878298,0.3360020480017955
0.32611973796798943,0.33573552722018823
0.3271051634894584,0.3366157471699701
0.32839919202120943,0.33819383074527626
0.3303980978832639,0.3406100520416895
0.3334455526097995,0.34363997250627726
0.33687525424679826,0.34743438679179117
0.3408309837422323,0.351604034282989
